income,debt,credit_score,approved
12000,15000,420,0
14000,12000,480,0
16000,10000,520,0
18000,9000,560,0
20000,8500,580,0
22000,8000,600,0
24000,7500,620,0
26000,7000,640,1
28000,6500,650,1
30000,6000,660,1
32000,5500,680,1
34000,5000,690,1
36000,4500,700,1
40000,4000,720,1
45000,3500,740,1
50000,3000,760,1
55000,2500,780,1
60000,2000,800,1
65000,1800,810,1
70000,1500,830,1
25000,9000,610,0
27000,8500,630,0
29000,7800,645,1
31000,7600,655,1
33000,7300,670,1
35000,7100,680,1
37000,6800,690,1
39000,6500,705,1
21000,9500,590,0
23000,9200,605,0
30000,9000,690,0
32000,8500,700,0
34000,8000,710,1
28000,9500,660,0
26000,6000,610,1
24000,5000,590,1
36000,9500,720,0
38000,10000,730,1
42000,12000,750,0
45000,11000,760,1
48000,15000,770,0
52000,14000,790,1
